Game_Number,Hybrid_codestral-22b_CSS_CoT,Hybrid_codestral-22b_CSS_ZeroShot,Hybrid_codestral-22b_Random_CoT,Hybrid_codestral-22b_Random_ZeroShot,Hybrid_codestral-22b_VOI_CoT,Hybrid_codestral-22b_VOI_ZeroShot,Hybrid_gemma-27b_CSS_CoT,Hybrid_gemma-27b_CSS_ZeroShot,Hybrid_gemma-27b_Random_CoT,Hybrid_gemma-27b_Random_ZeroShot,Hybrid_gemma-27b_VOI_CoT,Hybrid_gemma-27b_VOI_ZeroShot,Hybrid_granite-8b_CSS_CoT,Hybrid_granite-8b_CSS_ZeroShot,Hybrid_granite-8b_Random_CoT,Hybrid_granite-8b_Random_ZeroShot,Hybrid_granite-8b_VOI_CoT,Hybrid_granite-8b_VOI_ZeroShot,Hybrid_llama-3.1-70b_CSS_CoT,Hybrid_llama-3.1-70b_CSS_ZeroShot,Hybrid_llama-3.1-70b_Random_CoT,Hybrid_llama-3.1-70b_Random_ZeroShot,Hybrid_llama-3.1-70b_VOI_CoT,Hybrid_llama-3.1-70b_VOI_ZeroShot,Hybrid_llama-3.1-8b_CSS_CoT,Hybrid_llama-3.1-8b_CSS_ZeroShot,Hybrid_llama-3.1-8b_Random_CoT,Hybrid_llama-3.1-8b_Random_ZeroShot,Hybrid_llama-3.1-8b_VOI_CoT,Hybrid_llama-3.1-8b_VOI_ZeroShot,Hybrid_llama-3.3-70b_CSS_CoT,Hybrid_llama-3.3-70b_CSS_ZeroShot,Hybrid_llama-3.3-70b_Random_CoT,Hybrid_llama-3.3-70b_Random_ZeroShot,Hybrid_llama-3.3-70b_VOI_CoT,Hybrid_llama-3.3-70b_VOI_ZeroShot,Hybrid_mistral-7b_CSS_CoT,Hybrid_mistral-7b_CSS_ZeroShot,Hybrid_mistral-7b_Random_CoT,Hybrid_mistral-7b_Random_ZeroShot,Hybrid_mistral-7b_VOI_CoT,Hybrid_mistral-7b_VOI_ZeroShot,Hybrid_mistral-small_CSS_CoT,Hybrid_mistral-small_CSS_ZeroShot,Hybrid_mistral-small_Random_CoT,Hybrid_mistral-small_Random_ZeroShot,Hybrid_mistral-small_VOI_CoT,Hybrid_mistral-small_VOI_ZeroShot,Hybrid_nemotron-8b_CSS_CoT,Hybrid_nemotron-8b_CSS_ZeroShot,Hybrid_nemotron-8b_Random_CoT,Hybrid_nemotron-8b_Random_ZeroShot,Hybrid_nemotron-8b_VOI_CoT,Hybrid_nemotron-8b_VOI_ZeroShot,PureLLM_codestral-22b_CoT,PureLLM_codestral-22b_ZeroShot,PureLLM_gemma-27b_CoT,PureLLM_gemma-27b_ZeroShot,PureLLM_gpt-oss-120b_CoT,PureLLM_gpt-oss-120b_ZeroShot,PureLLM_gpt-oss-20b_CoT,PureLLM_gpt-oss-20b_ZeroShot,PureLLM_granite-8b_CoT,PureLLM_granite-8b_ZeroShot,PureLLM_llama-3.1-70b_CoT,PureLLM_llama-3.1-70b_ZeroShot,PureLLM_llama-3.1-8b_CoT,PureLLM_llama-3.1-8b_ZeroShot,PureLLM_llama-3.3-70b_CoT,PureLLM_llama-3.3-70b_ZeroShot,PureLLM_mistral-7b_CoT,PureLLM_mistral-7b_ZeroShot,PureLLM_mistral-small_CoT,PureLLM_mistral-small_ZeroShot,PureLLM_nemotron-8b_CoT,PureLLM_nemotron-8b_ZeroShot,Pure_Algo_css,Pure_Algo_css_then_voi,Pure_Algo_css_voi_alternating,Pure_Algo_pure_random,Pure_Algo_random,Pure_Algo_voi,Pure_Algo_voi_css_alternating,Pure_Algo_voi_then_css
32,2.0,2.0,,2.0,0.0,4.0,4.0,0.0,,2.0,0.0,0.0,5.0,2.0,5.0,4.0,4.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,4.0,4.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,,,2.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,3.0,4.0,2.0,,0.0,2.0
33,0.0,,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,2.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,0.0,2.0,2.0,0.0,3.0,5.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,,1.0,1.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,3.0,4.0,3.0,,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,,0.0,4.0,0.0,0.0,1.0,1.0
34,1.0,2.0,4.0,4.0,3.0,1.0,0.0,0.0,,4.0,0.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,5.0,3.0,4.0,2.0,3.0,3.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,,5.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,,0.0,1.0,1.0
35,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,5.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,0.0,1.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0
36,3.0,3.0,2.0,5.0,4.0,0.0,3.0,4.0,2.0,4.0,3.0,4.0,0.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,0.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,5.0,3.0,4.0,2.0,3.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,3.0,2.0,0.0,4.0,2.0,0.0,4.0,4.0,3.0,4.0,0.0,5.0,4.0,4.0,2.0,5.0,3.0,4.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,3.0,0.0,5.0,4.0,0.0,4.0,3.0
37,1.0,0.0,3.0,3.0,3.0,1.0,2.0,,1.0,2.0,4.0,,2.0,1.0,4.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0
38,3.0,3.0,4.0,3.0,1.0,2.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,3.0,3.0,3.0,,4.0,3.0,3.0,3.0,4.0,3.0,0.0,3.0,3.0,3.0,,4.0,0.0,0.0,4.0,4.0,0.0,2.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,4.0,3.0,1.0,3.0,0.0,4.0,3.0,0.0,3.0,4.0,0.0,4.0,3.0,3.0,4.0,4.0,0.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,0.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0
39,0.0,3.0,4.0,4.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0,4.0,3.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,2.0,0.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,0.0
40,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,3.0,4.0,2.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,5.0,4.0,5.0,5.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,5.0,2.0,4.0,0.0,5.0,5.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0,0.0,3.0,1.0,3.0,0.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0
41,3.0,2.0,3.0,2.0,3.0,4.0,0.0,3.0,3.0,4.0,3.0,5.0,5.0,2.0,0.0,,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,0.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,3.0,3.0,2.0,3.0,0.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,0.0,1.0,2.0
42,4.0,1.0,1.0,2.0,0.0,3.0,0.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,0.0,3.0,0.0,1.0,2.0,4.0,3.0,0.0,4.0,4.0,3.0,4.0,2.0,0.0,4.0,0.0,3.0,4.0,0.0,3.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0
43,4.0,3.0,4.0,2.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,4.0,0.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,4.0,,1.0,3.0,3.0,2.0,0.0,4.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,1.0,3.0,0.0,3.0,4.0,0.0,4.0,2.0
44,1.0,0.0,1.0,1.0,4.0,4.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,3.0,4.0,0.0,3.0,0.0,3.0,3.0,4.0,0.0,0.0,4.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,3.0,3.0,4.0,0.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,0.0,1.0,1.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,0.0,3.0,5.0,3.0,1.0,1.0,4.0
45,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,0.0,3.0,5.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,2.0,,2.0
46,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,,1.0,1.0,4.0,0.0,3.0,2.0,1.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,0.0,2.0
47,3.0,3.0,0.0,3.0,3.0,5.0,0.0,0.0,3.0,0.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,4.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,2.0,5.0,5.0,0.0,4.0,3.0,3.0,,4.0,3.0,0.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,,3.0,3.0,5.0,4.0,3.0,0.0,3.0,5.0,4.0,0.0,3.0,4.0
48,4.0,0.0,0.0,3.0,0.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,5.0,2.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,4.0,3.0,1.0,0.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,1.0,4.0,0.0,3.0,0.0,4.0,5.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,3.0,4.0,3.0,5.0,,0.0,5.0,4.0,2.0,1.0,1.0
49,3.0,3.0,2.0,2.0,1.0,3.0,0.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,0.0,2.0,5.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,5.0,5.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,2.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,5.0,1.0,0.0,0.0,5.0,2.0,2.0,2.0,2.0
50,4.0,3.0,0.0,4.0,2.0,0.0,3.0,0.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,0.0,4.0,0.0,3.0,3.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,0.0,3.0,3.0,4.0,2.0,0.0,4.0,3.0,3.0,0.0,0.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,0.0,4.0,5.0,3.0,0.0,0.0,4.0,3.0,2.0,0.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,3.0,0.0,3.0,2.0,3.0,4.0,0.0,4.0,5.0,2.0,5.0,3.0,4.0
51,1.0,5.0,2.0,4.0,5.0,1.0,3.0,0.0,2.0,0.0,3.0,,0.0,4.0,5.0,3.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,2.0,,2.0,0.0,4.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,5.0,2.0,0.0,2.0,3.0
52,2.0,5.0,4.0,5.0,2.0,4.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,3.0,,3.0,4.0,,4.0,2.0,2.0,,2.0,2.0,3.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,4.0,2.0,2.0,,2.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,4.0,3.0,0.0,5.0,4.0,0.0,0.0,2.0
53,0.0,4.0,5.0,4.0,3.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,4.0,3.0,1.0,0.0,3.0,0.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,3.0,2.0,3.0,5.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,0.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,0.0,3.0,0.0,4.0,3.0,4.0,0.0,0.0
54,4.0,4.0,0.0,5.0,1.0,3.0,0.0,1.0,4.0,2.0,1.0,3.0,0.0,3.0,3.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0,3.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,4.0,0.0,1.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,0.0,4.0,4.0,3.0,0.0,1.0,4.0,3.0,0.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,2.0
55,0.0,1.0,4.0,4.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,,2.0,2.0,0.0,4.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,,5.0,3.0,0.0,1.0,2.0
56,1.0,2.0,3.0,2.0,5.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,2.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,,3.0,2.0,2.0,1.0,2.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0
57,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,0.0,2.0,3.0,3.0,2.0,3.0,4.0,0.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,
58,3.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,3.0,5.0,4.0,0.0,1.0,2.0,2.0,,,,2.0,,,,,,,5.0,,,,5.0,0.0,,,2.0,,3.0,0.0,3.0,2.0,4.0,,0.0,0.0,5.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,4.0,3.0,4.0,2.0,0.0,4.0,0.0,2.0,5.0,4.0,,0.0,3.0,0.0,,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,3.0,3.0
59,0.0,3.0,0.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,0.0,1.0,3.0,2.0,1.0,0.0,3.0,3.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,0.0,4.0,2.0,3.0
60,3.0,1.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,0.0,4.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,5.0,0.0,1.0,4.0,3.0,3.0,2.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,1.0,5.0,0.0,4.0,0.0,3.0
61,,3.0,3.0,4.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,,4.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,5.0,3.0,0.0,4.0,3.0,0.0,3.0,0.0,4.0,4.0,0.0,3.0,3.0,3.0,3.0,0.0,4.0,5.0,3.0,5.0,,5.0,0.0,2.0,2.0,5.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,0.0,0.0,3.0,0.0
62,0.0,3.0,2.0,4.0,0.0,4.0,0.0,0.0,2.0,3.0,4.0,3.0,4.0,0.0,5.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,0.0,4.0,3.0,4.0,5.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,4.0,2.0,4.0,0.0,0.0
63,2.0,2.0,1.0,5.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,3.0,0.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,5.0,2.0,5.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,5.0,0.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0
64,0.0,0.0,2.0,1.0,2.0,,1.0,2.0,0.0,2.0,3.0,,0.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,,1.0,1.0,1.0,0.0,5.0,3.0,4.0,4.0,0.0,3.0,1.0,0.0,1.0,,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,5.0,2.0,3.0,1.0,2.0
65,3.0,4.0,0.0,4.0,3.0,5.0,4.0,0.0,4.0,0.0,3.0,0.0,2.0,,0.0,0.0,4.0,3.0,0.0,4.0,5.0,4.0,0.0,5.0,5.0,2.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,5.0,0.0,3.0,0.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,0.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,0.0,2.0,0.0,3.0,4.0,5.0,4.0,2.0,5.0,0.0,,4.0,2.0,3.0,4.0,0.0,3.0,3.0,4.0,2.0,0.0,3.0,5.0
66,4.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,2.0,,3.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0,2.0,4.0,3.0,3.0,0.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,0.0,5.0,3.0,3.0,2.0,0.0
67,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,5.0,2.0,3.0,4.0,3.0,1.0,2.0,4.0,1.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,3.0,1.0,2.0
